Region,Month,Level,Level_ID,Level_Name,Sales,Cost,Profit,Profit_Margin,Units_Sold,Notes
US,2025-03,Brand,Dune,Dune,,,,,
US,2025-03,Category,Footwear,Footwear,,,,,
US,2025-03,Category,Bags,Bags,,,,,
US,2025-03,Category,Accessories,Accessories,,,,,
US,2025-03,Region,New York,New York,,,,,
US,2025-03,Region,Los Angeles,Los Angeles,,,,,
US,2025-03,Region,Chicago,Chicago,,,,,
US,2025-03,Store,US-001,US-001,,,,,
US,2025-03,Store,US-002,US-002,,,,,
US,2025-03,Store,US-003,US-003,,,,,
US,2025-04,Brand,Dune,Dune,,,,,
US,2025-04,Category,Footwear,Footwear,,,,,
US,2025-04,Category,Bags,Bags,,,,,
US,2025-04,Category,Accessories,Accessories,,,,,
US,2025-04,Region,New York,New York,,,,,
US,2025-04,Region,Los Angeles,Los Angeles,,,,,
US,2025-04,Region,Chicago,Chicago,,,,,
US,2025-04,Store,US-001,US-001,,,,,
US,2025-04,Store,US-002,US-002,,,,,
US,2025-04,Store,US-003,US-003,,,,,
US,2025-05,Brand,Dune,Dune,,,,,
US,2025-05,Category,Footwear,Footwear,,,,,
US,2025-05,Category,Bags,Bags,,,,,
US,2025-05,Category,Accessories,Accessories,,,,,
US,2025-05,Region,New York,New York,,,,,
US,2025-05,Region,Los Angeles,Los Angeles,,,,,
US,2025-05,Region,Chicago,Chicago,,,,,
US,2025-05,Store,US-001,US-001,,,,,
US,2025-05,Store,US-002,US-002,,,,,
US,2025-05,Store,US-003,US-003,,,,,
US,2025-06,Brand,Dune,Dune,,,,,
US,2025-06,Category,Footwear,Footwear,,,,,
US,2025-06,Category,Bags,Bags,,,,,
US,2025-06,Category,Accessories,Accessories,,,,,
US,2025-06,Region,New York,New York,,,,,
US,2025-06,Region,Los Angeles,Los Angeles,,,,,
US,2025-06,Region,Chicago,Chicago,,,,,
US,2025-06,Store,US-001,US-001,,,,,
US,2025-06,Store,US-002,US-002,,,,,
US,2025-06,Store,US-003,US-003,,,,,
US,2025-07,Brand,Dune,Dune,,,,,
US,2025-07,Category,Footwear,Footwear,,,,,
US,2025-07,Category,Bags,Bags,,,,,
US,2025-07,Category,Accessories,Accessories,,,,,
US,2025-07,Region,New York,New York,,,,,
US,2025-07,Region,Los Angeles,Los Angeles,,,,,
US,2025-07,Region,Chicago,Chicago,,,,,
US,2025-07,Store,US-001,US-001,,,,,
US,2025-07,Store,US-002,US-002,,,,,
US,2025-07,Store,US-003,US-003,,,,,
US,2025-08,Brand,Dune,Dune,,,,,
US,2025-08,Category,Footwear,Footwear,,,,,
US,2025-08,Category,Bags,Bags,,,,,
US,2025-08,Category,Accessories,Accessories,,,,,
